question,consistent body,inconsistent body,consistent paraphrased,inconsistent paraphrased,answer
What is the number of blue shampoos that Andrew has now?,Abigail has 5 orange packages. Abigail possesses 3 red basket for every orange package. Abigail possesses 18 blue shampoo for every red basket. Andrew has 3 more blue shampoos than Abigail. Andrew bought 8 blue shampoos. Andrew bought 16 blue shampoos.,Abigail has 5 orange packages. Abigail possesses 3 red basket for every orange package. Abigail possesses 18 blue shampoo for every red basket. Abigail has 3 fewer blue shampoos than Andrew. Andrew bought 8 blue shampoos. Andrew bought 16 blue shampoos.,Abigail has 5 orange packages. Abigail possesses 3 red baskets for every orange package. Abigail possesses 18 blue shampoos for every red basket. Andrew has 3 more blue shampoos than Abigail. Andrew bought 8 blue shampoos. Andrew bought 16 blue shampoos. What is the number of blue shampoos that Andrew has now?,Abigail has 5 orange packages. Abigail possesses 3 red baskets for every orange package. Abigail possesses 18 blue shampoos for every red basket. Abigail has 3 fewer blue shampoos than Andrew. Andrew bought 8 blue shampoos. Andrew bought 16 blue shampoos. What is the number of blue shampoos that Andrew has now?,297
How many mugs does Evelyn have in total now?,Ava owns 9 mugs. Evelyn has 2 fewer mugs than Ava. Evelyn bought 18 mugs.,Ava owns 9 mugs. Ava has 2 more mugs than Evelyn. Evelyn bought 18 mugs.,Ava owns 9 mugs. Evelyn has 2 fewer mugs than Ava. Evelyn bought 18 mugs. How many mugs does Evelyn have in total now?,Ava owns 9 mugs. Ava has 2 more mugs than Evelyn. Evelyn bought 18 mugs. How many mugs does Evelyn have in total now?,25
What is the number of blue phones that Joseph has?,Lily has 13 blue phones. Lily bought 19 blue phones. Joseph has 3 more blue phones than Lily.,Lily has 13 blue phones. Lily bought 19 blue phones. Lily has 3 fewer blue phones than Joseph.,Lily has 13 blue phones. Lily bought 19 more blue phones. Joseph has 3 more blue phones than Lily. What is the number of blue phones that Joseph has?,Lily has 13 blue phones. Lily bought 19 more blue phones. Lily has 3 fewer blue phones than Joseph. What is the number of blue phones that Joseph has?,35
How many acres of farmland does Liam have?,William owns 8 baskets. Liam has 4 fewer baskets than William. Liam possesses 10 acres of farmland per basket.,William owns 8 baskets. William has 4 more baskets than Liam. Liam possesses 10 acres of farmland per basket.,William owns 8 baskets. Liam has 4 fewer baskets than William. Liam possesses 10 acres of farmland per basket. How many acres of farmland does Liam have?,William owns 8 baskets. William has 4 more baskets than Liam. Liam possesses 10 acres of farmland per basket. How many acres of farmland does Liam have?,40
How many lamps does Liam have in all?,Ella has 4 suitcases. Liam has 9 times as many suitcases as Ella. There are 8 packages in every Liam's suitcase. Every package that Liam has contains 3 lamps.,Ella has 4 suitcases. Ella has 1/9 the amount of suitcases as Liam. There are 8 packages in every Liam's suitcase. Every package that Liam has contains 3 lamps.,Ella has 4 suitcases. Liam has 9 times as many suitcases as Ella. There are 8 packages in each of Liam's suitcases. Each package that Liam has contains 3 lamps. How many lamps does Liam have in total?,Ella has 4 suitcases. Ella has 1/9 of the number of suitcases as Liam. There are 8 packages in each of Liam's suitcases. Each package that Liam has contains 3 lamps. How many lamps does Liam have in total?,864
How many gallons of oil does Evelyn have?,There are 2 bags in Alexander's collection. Evelyn has 1/2 the amount of bags as Alexander. Evelyn possesses 6 gallons of oil per bag.,There are 2 bags in Alexander's collection. Alexander has 2 times as many bags as Evelyn. Evelyn possesses 6 gallons of oil per bag.,There are 2 bags in Alexander's collection. Evelyn has half the number of bags as Alexander. Evelyn possesses 6 gallons of oil per bag. How many gallons of oil does Evelyn have?,There are 2 bags in Alexander's collection. Alexander has twice as many bags as Evelyn. Evelyn possesses 6 gallons of oil per bag. How many gallons of oil does Evelyn have?,6
How many dollars of bitcoin does Logan have?,Scarlett owns 4 backpacks. Logan has 13 times as many backpacks as Scarlett. Logan bought 20 backpacks. Logan possesses 12 dollars of bitcoin per backpack.,Scarlett owns 4 backpacks. Scarlett has 1/13 the amount of backpacks as Logan. Logan bought 20 backpacks. Logan possesses 12 dollars of bitcoin per backpack.,Scarlett owns 4 backpacks. Logan has 13 times as many backpacks as Scarlett. Logan bought 20 backpacks. Logan possesses 12 dollars of bitcoin per backpack. How many dollars of bitcoin does Logan have?,Scarlett owns 4 backpacks. Scarlett has 1/13 of the number of backpacks as Logan. Logan bought 20 backpacks. Logan possesses 12 dollars of bitcoin per backpack. How many dollars of bitcoin does Logan have?,864
How many grams of butter does Christopher have?,Matthew owns 6 bags. Matthew bought 4 more bags. Matthew possesses 16 grams of butter per bag. Christopher has 9 grams of butter less than Matthew.,Matthew owns 6 bags. Matthew bought 4 more bags. Matthew possesses 16 grams of butter per bag. Matthew has 9 grams of butter more than Christopher.,Matthew owns 6 bags. Matthew bought 4 additional bags. Matthew possesses 16 grams of butter per bag. Christopher has 9 grams less butter than Matthew. How many grams of butter does Christopher have?,Matthew owns 6 bags. Matthew bought 4 additional bags. Matthew possesses 16 grams of butter per bag. Matthew has 9 grams of butter more than Christopher. How many grams of butter does Christopher have?,151
What is the number of red spoons that James has?,Mason has 20 red spoons.  James has 6 times the amount of red spoons compared to the amount Mason has.,Mason has 20 red spoons.  Mason has 1/6 the amount of red spoons compared to the amount James has.,Mason has 20 red spoons. James has 6 times the number of red spoons that Mason has. What is the number of red spoons that James has?,Mason has 20 red spoons. Mason has 1/6 of the amount of red spoons that James has. What is the number of red spoons that James has?,120
How many backpacks does Ryan have totaled now?,Samuel owns 12 backpacks. Samuel possesses 14 kilowatt-hours of emergency energy reserve per backpack. Ryan has 8 fewer backpacks than Samuel. Ryan bought 15 more backpacks.,Samuel owns 12 backpacks. Samuel possesses 14 kilowatt-hours of emergency energy reserve per backpack. Samuel has 8 more backpacks than Ryan. Ryan bought 15 more backpacks.,Samuel owns 12 backpacks. Each backpack possesses 14 kilowatt-hours of emergency energy reserve. Ryan has 8 fewer backpacks than Samuel. Ryan bought 15 additional backpacks. How many backpacks does Ryan have in total now?,Samuel owns 12 backpacks. Each backpack possesses 14 kilowatt-hours of emergency energy reserve. Samuel has 8 more backpacks than Ryan. Ryan bought 15 additional backpacks. How many backpacks does Ryan have in total now?,19
How many acres of farmland does Sophia have?,Isabella has 13 bags. Isabella bought 6 bags. Sophia has 17 fewer bags than Isabella. Each of Sophia's bag has 12 boxs. Sophia possesses 6 acres of farmland per box.,Isabella has 13 bags. Isabella bought 6 bags. Isabella has 17 more bags than Sophia. Each of Sophia's bag has 12 boxs. Sophia possesses 6 acres of farmland per box.,Isabella has 13 bags. Isabella bought 6 bags. Sophia has 17 fewer bags than Isabella. Each of Sophia's bags has 12 boxes. Sophia possesses 6 acres of farmland per box. How many acres of farmland does Sophia have?,Isabella has 13 bags. Isabella bought 6 bags. Isabella has 17 more bags than Sophia. Each of Sophia's bags has 12 boxes. Sophia possesses 6 acres of farmland per box. How many acres of farmland does Sophia have?,144
How many grams of butter does Michael have?,There are 14 suitcases in Chloe's collection. Chloe possesses 19 grams of butter per suitcase. Michael has 1/7 the amount of suitcases as Chloe. Michael possesses 15 grams of butter per suitcase.,There are 14 suitcases in Chloe's collection. Chloe possesses 19 grams of butter per suitcase. Chloe has 7 times as many suitcases as Michael. Michael possesses 15 grams of butter per suitcase.,There are 14 suitcases in Chloe's collection. Chloe possesses 19 grams of butter per suitcase. Michael has 1/7 the number of suitcases as Chloe. Michael possesses 15 grams of butter per suitcase. How many grams of butter does Michael have?,There are 14 suitcases in Chloe's collection. Chloe possesses 19 grams of butter per suitcase. Chloe has 7 times as many suitcases as Michael. Michael possesses 15 grams of butter per suitcase. How many grams of butter does Michael have?,30
How many spoons does Emma have totaled now?,There are 7 bags in Ella's collection. Each of Ella's bag holds 4 boxs. Ella bought 15 boxs. Emma has 4 times as many boxs as Ella. Each of Emma's box has 5 spoons. Emma bought 8 more spoons.,There are 7 bags in Ella's collection. Each of Ella's bag holds 4 boxs. Ella bought 15 boxs. Ella has 1/4 the amount of boxs as Emma. Each of Emma's box has 5 spoons. Emma bought 8 more spoons.,There are 7 bags in Ella's collection. Each of Ella's bags holds 4 boxes. Ella bought 15 boxes. Emma has 4 times as many boxes as Ella. Each of Emma's boxes has 5 spoons. Emma bought 8 more spoons. How many spoons does Emma have in total now?,There are 7 bags in Ella's collection. Each of Ella's bags holds 4 boxes. Ella bought 15 boxes. Ella has 1/4 the amount of boxes as Emma. Each of Emma's boxes has 5 spoons. Emma bought 8 more spoons. How many spoons does Emma have in total now?,868
What is the number of blue soaps that Sofia has?,Victoria has 8 blue soaps.  Sofia has 1/4 the amount of blue soaps compared to the amount Victoria has.,Victoria has 8 blue soaps.  Victoria has 4 times the amount of blue soaps compared to the amount Sofia has.,Victoria has 8 blue soaps. Sofia has 1/4 of the amount of blue soaps that Victoria has. What is the number of blue soaps that Sofia has?,Victoria has 8 blue soaps. Victoria has 4 times the number of blue soaps that Sofia has. What is the number of blue soaps that Sofia has?,2
What is the number of small boxs that Alexander has?,Isabella has 10 small boxs. Isabella possesses 20 large keyboard for every small box. Alexander has 10 more small boxs than Isabella.,Isabella has 10 small boxs. Isabella possesses 20 large keyboard for every small box. Isabella has 10 fewer small boxs than Alexander.,Isabella has 10 small boxes. Isabella possesses 20 large keyboards for every small box. Alexander has 10 more small boxes than Isabella. What is the number of small boxes that Alexander has?,Isabella has 10 small boxes. Isabella possesses 20 large keyboards for every small box. Isabella has 10 fewer small boxes than Alexander. What is the number of small boxes that Alexander has?,20
How many kilograms of gold does Christian have?,Ella has 11 kilograms of gold. Christian has 1/11 as much gold in kilograms as Ella does.,Ella has 11 kilograms of gold. Ella has 11 times as much gold in kilograms as Christian does.,Ella has 11 kilograms of gold. Christian has 1/11 as much gold in kilograms as Ella does. How many kilograms of gold does Christian have?,Ella has 11 kilograms of gold. Ella has 11 times as much gold in kilograms as Christian has. How many kilograms of gold does Christian have?,1
How many vacuum cleaners does Mason have in their collection?,Natalie has 20 baskets. Each of Natalie's basket holds 2 boxs. Mason has 14 fewer boxs than Natalie. Mason bought 5 boxs. Each of Mason's box has 18 vacuum cleaners.,Natalie has 20 baskets. Each of Natalie's basket holds 2 boxs. Natalie has 14 more boxs than Mason. Mason bought 5 boxs. Each of Mason's box has 18 vacuum cleaners.,Natalie has 20 baskets. Each of Natalie's baskets holds 2 boxes. Mason has 14 fewer boxes than Natalie. Mason bought 5 boxes. Each of Mason's boxes has 18 vacuum cleaners. How many vacuum cleaners does Mason have in their collection?,Natalie has 20 baskets. Each of Natalie's baskets holds 2 boxes. Natalie has 14 more boxes than Mason. Mason bought 5 boxes. Each of Mason's boxes has 18 vacuum cleaners. How many vacuum cleaners does Mason have in their collection?,558
How many refrigerators does Scarlett have in their collection?,There are 7 bags in Alexander's collection. There are 12 packages in every Alexander's bag. Scarlett has 1/14 the amount of packages as Alexander. Every package that Scarlett has contains 9 baskets. There are 2 refrigerators in every Scarlett's basket.,There are 7 bags in Alexander's collection. There are 12 packages in every Alexander's bag. Alexander has 14 times as many packages as Scarlett. Every package that Scarlett has contains 9 baskets. There are 2 refrigerators in every Scarlett's basket.,There are 7 bags in Alexander's collection. There are 12 packages in each of Alexander's bags. Scarlett has 1/14 of the amount of packages that Alexander has. Each package that Scarlett has contains 9 baskets. There are 2 refrigerators in each of Scarlett's baskets. How many refrigerators does Scarlett have in their collection?,There are 7 bags in Alexander's collection. There are 12 packages in each of Alexander's bags. Alexander has 14 times as many packages as Scarlett. Each package that Scarlett has contains 9 baskets. There are 2 refrigerators in each of Scarlett's baskets. How many refrigerators does Scarlett have in their collection?,108
How many couchs does Amelia have?,Lucy has 8 backpacks. Amelia has 8 fewer backpacks than Lucy. There are 10 bags in every Amelia's backpack. Each of Amelia's bag has 11 couchs.,Lucy has 8 backpacks. Lucy has 8 more backpacks than Amelia. There are 10 bags in every Amelia's backpack. Each of Amelia's bag has 11 couchs.,Lucy has 8 backpacks. Amelia has 8 fewer backpacks than Lucy. There are 10 bags in every one of Amelia's backpacks. Each of Amelia's bags has 11 couches. How many couches does Amelia have?,Lucy has 8 backpacks. Lucy has 8 more backpacks than Amelia. There are 10 bags in every one of Amelia's backpacks. Each of Amelia's bags has 11 couches. How many couches does Amelia have?,0
How many gallons of oil does Victoria have?,Matthew owns 6 suitcases. Matthew possesses 17 gallons of oil per suitcase. Victoria has 1/2 as much oil in gallons as Matthew does.,Matthew owns 6 suitcases. Matthew possesses 17 gallons of oil per suitcase. Matthew has 2 times as much oil in gallons as Victoria does.,Matthew owns 6 suitcases. Matthew possesses 17 gallons of oil per suitcase. Victoria has half as much oil in gallons as Matthew does. How many gallons of oil does Victoria have?,Matthew owns 6 suitcases. Matthew possesses 17 gallons of oil per suitcase. Matthew has twice as much oil in gallons as Victoria. How many gallons of oil does Victoria have?,51
How many hairdryers does Alexander have totaled?,Elizabeth owns 19 suitcases. Alexander has 4 more suitcases than Elizabeth. Alexander bought 6 more suitcases. Each of Alexander's suitcase holds 14 hairdryers.,Elizabeth owns 19 suitcases. Elizabeth has 4 fewer suitcases than Alexander. Alexander bought 6 more suitcases. Each of Alexander's suitcase holds 14 hairdryers.,Elizabeth owns 19 suitcases. Alexander has 4 more suitcases than Elizabeth. Alexander bought 6 additional suitcases. Each of Alexander's suitcases holds 14 hairdryers. How many hairdryers does Alexander have in total?,Elizabeth owns 19 suitcases. Elizabeth has 4 fewer suitcases than Alexander. Alexander bought 6 additional suitcases. Each of Alexander's suitcases holds 14 hairdryers. How many hairdryers does Alexander have in total?,406
What is the number of yellow beds that Grace has?,Emily has 12 blue suitcases. Emily possesses 15 yellow bed for every blue suitcase.  Grace has 4 times the amount of yellow beds compared to the amount Emily has.,Emily has 12 blue suitcases. Emily possesses 15 yellow bed for every blue suitcase.  Emily has 1/4 the amount of yellow beds compared to the amount Grace has.,Emily has 12 blue suitcases. Emily possesses 15 yellow beds for every blue suitcase. Grace has 4 times the amount of yellow beds compared to the amount Emily has. What is the number of yellow beds that Grace has?,Emily has 12 blue suitcases. Emily possesses 15 yellow beds for every blue suitcase. Emily has 1/4 the amount of yellow beds compared to the amount Grace has. What is the number of yellow beds that Grace has?,720
How many packages does Scarlett have totaled now?,Olivia has 10 packages. Olivia possesses 12 liters of milk per package. Scarlett has 18 more packages than Olivia. Scarlett bought 14 packages.,Olivia has 10 packages. Olivia possesses 12 liters of milk per package. Olivia has 18 fewer packages than Scarlett. Scarlett bought 14 packages.,Olivia has 10 packages. Each package contains 12 liters of milk. Scarlett has 18 more packages than Olivia. Scarlett bought 14 packages. How many packages does Scarlett have in total now?,Olivia has 10 packages. Each package contains 12 liters of milk. Olivia has 18 fewer packages than Scarlett. Scarlett bought 14 packages. How many packages does Scarlett have in total now?,42
How many gigabytes of training data does Daniel have?,Hannah has 10 gigabytes of training data. Hannah bought 17 gigabytes more training data. Daniel has 15 gigabytes of training data less than Hannah.,Hannah has 10 gigabytes of training data. Hannah bought 17 gigabytes more training data. Hannah has 15 gigabytes of training data more than Daniel.,Hannah has 10 gigabytes of training data. Hannah bought 17 more gigabytes of training data. Daniel has 15 gigabytes less training data than Hannah. How many gigabytes of training data does Daniel have?,Hannah has 10 gigabytes of training data. Hannah bought 17 more gigabytes of training data. Hannah has 15 gigabytes more training data than Daniel. How many gigabytes of training data does Daniel have?,12
How many keyboards does Logan have in total now?,Nicholas has 17 packages. There are 17 keyboards in every Nicholas's package. Nicholas bought 4 more keyboards. Logan has 9 more keyboards than Nicholas. Logan bought 18 more keyboards.,Nicholas has 17 packages. There are 17 keyboards in every Nicholas's package. Nicholas bought 4 more keyboards. Nicholas has 9 fewer keyboards than Logan. Logan bought 18 more keyboards.,Nicholas has 17 packages. There are 17 keyboards in each of Nicholas's packages. Nicholas bought 4 additional keyboards. Logan has 9 more keyboards than Nicholas. Logan bought 18 more keyboards. How many keyboards does Logan have in total now?,Nicholas has 17 packages. There are 17 keyboards in each of Nicholas's packages. Nicholas bought 4 additional keyboards. Nicholas has 9 fewer keyboards than Logan. Logan bought 18 more keyboards. How many keyboards does Logan have in total now?,320
What is the number of blue clocks that Evelyn has?,Nicholas has 17 green boxs. Nicholas bought 16 green boxs. Nicholas possesses 4 red phone for every green box. Evelyn has 14 more green boxs than Nicholas. Evelyn possesses 3 blue clock for every green box.,Nicholas has 17 green boxs. Nicholas bought 16 green boxs. Nicholas possesses 4 red phone for every green box. Nicholas has 14 fewer green boxs than Evelyn. Evelyn possesses 3 blue clock for every green box.,Nicholas has 17 green boxes. Nicholas bought 16 green boxes. Nicholas possesses 4 red phones for every green box. Evelyn has 14 more green boxes than Nicholas. Evelyn possesses 3 blue clocks for every green box. What is the number of blue clocks that Evelyn has?,Nicholas has 17 green boxes. Nicholas bought 16 green boxes. Nicholas possesses 4 red phones for every green box. Nicholas has 14 fewer green boxes than Evelyn. Evelyn possesses 3 blue clocks for every green box. What is the number of blue clocks that Evelyn has?,141
What is the number of green cups that Mason has?,Emma has 2 orange suitcases. Emma bought 5 orange suitcases.  Mason has 3 times the amount of orange suitcases compared to the amount Emma has. Mason possesses 10 red package for every orange suitcase. Mason possesses 2 green cup for every red package.,Emma has 2 orange suitcases. Emma bought 5 orange suitcases.  Emma has 1/3 the amount of orange suitcases compared to the amount Mason has. Mason possesses 10 red package for every orange suitcase. Mason possesses 2 green cup for every red package.,Emma has 2 orange suitcases. Emma bought 5 more orange suitcases. Mason has 3 times the number of orange suitcases compared to Emma. Mason possesses 10 red packages for every orange suitcase. Mason possesses 2 green cups for every red package. What is the number of green cups that Mason has?,Emma has 2 orange suitcases. Emma bought 5 more orange suitcases. Emma has 1/3 the number of orange suitcases compared to the number Mason has. Mason possesses 10 red packages for every orange suitcase. Mason possesses 2 green cups for every red package. What is the number of green cups that Mason has?,420
How many headphones does Mason have in total?,There are 7 headphones in Grace's collection. Grace bought 2 more headphones. Mason has 10 times as many headphones as Grace.,There are 7 headphones in Grace's collection. Grace bought 2 more headphones. Grace has 1/10 the amount of headphones as Mason.,There are 7 headphones in Grace's collection. Grace bought 2 additional headphones. Mason has 10 times as many headphones as Grace. How many headphones does Mason have in total?,There are 7 headphones in Grace's collection. Grace bought 2 additional headphones. Grace has 1/10 of the number of headphones as Mason. How many headphones does Mason have in total?,90
How many kilograms of gold does Mila have now?,Elizabeth has 3 kilograms of gold. Elizabeth bought 9 kilograms more gold. Mila has 4 kilograms of gold less than Elizabeth. Mila bought 2 kilograms more gold. Mila bought 15 kilograms more gold.,Elizabeth has 3 kilograms of gold. Elizabeth bought 9 kilograms more gold. Elizabeth has 4 kilograms of gold more than Mila. Mila bought 2 kilograms more gold. Mila bought 15 kilograms more gold.,Elizabeth has 3 kilograms of gold. Elizabeth bought 9 kilograms more gold. Mila has 4 kilograms less gold than Elizabeth. Mila bought 2 kilograms more gold. Mila bought 15 kilograms more gold. How many kilograms of gold does Mila have now?,Elizabeth has 3 kilograms of gold. Elizabeth bought 9 kilograms more gold. Elizabeth has 4 kilograms more gold than Mila. Mila bought 2 kilograms more gold. Mila bought 15 kilograms more gold. How many kilograms of gold does Mila have now?,25
How many backpacks does Joseph have in their collection now?,Lucy has 4 backpacks. Lucy possesses 9 kilowatt-hours of emergency energy reserve per backpack. Lucy bought 11 kilowatt-hours more emergency energy reserve. Joseph has 1/2 the amount of backpacks as Lucy. Joseph bought 18 backpacks.,Lucy has 4 backpacks. Lucy possesses 9 kilowatt-hours of emergency energy reserve per backpack. Lucy bought 11 kilowatt-hours more emergency energy reserve. Lucy has 2 times as many backpacks as Joseph. Joseph bought 18 backpacks.,Lucy has 4 backpacks. Each backpack possesses 9 kilowatt-hours of emergency energy reserve. Lucy bought 11 kilowatt-hours more of emergency energy reserve. Joseph has half the number of backpacks as Lucy. Joseph bought 18 backpacks. How many backpacks does Joseph have in their collection now?,Lucy has 4 backpacks. Each backpack possesses 9 kilowatt-hours of emergency energy reserve. Lucy bought 11 kilowatt-hours more of emergency energy reserve. Lucy has twice as many backpacks as Joseph. Joseph bought 18 backpacks. How many backpacks does Joseph have in their collection now?,20
How many kilowatt-hours of emergency energy reserve does John have?,Layla has 20 kilowatt-hours of emergency energy reserve. Layla bought 7 kilowatt-hours more emergency energy reserve. Layla bought 17 kilowatt-hours more emergency energy reserve. John has 7 kilowatt-hours of emergency energy reserve more than Layla.,Layla has 20 kilowatt-hours of emergency energy reserve. Layla bought 7 kilowatt-hours more emergency energy reserve. Layla bought 17 kilowatt-hours more emergency energy reserve. Layla has 7 kilowatt-hours of emergency energy reserve less than John.,Layla has 20 kilowatt-hours of emergency energy reserve. Layla bought 7 more kilowatt-hours of emergency energy reserve. Layla bought 17 more kilowatt-hours of emergency energy reserve. John has 7 kilowatt-hours more of emergency energy reserve than Layla. How many kilowatt-hours of emergency energy reserve does John have?,Layla has 20 kilowatt-hours of emergency energy reserve. Layla bought 7 more kilowatt-hours of emergency energy reserve. Layla bought 17 more kilowatt-hours of emergency energy reserve. Layla has 7 kilowatt-hours less of emergency energy reserves than John. How many kilowatt-hours of emergency energy reserve does John have?,51
What is the number of red knifes that Christopher has now?,Jackson has 9 red knifes.  Christopher has 1/9 the amount of red knifes compared to the amount Jackson has. Christopher bought 6 red knifes.,Jackson has 9 red knifes.  Jackson has 9 times the amount of red knifes compared to the amount Christopher has. Christopher bought 6 red knifes.,Jackson has 9 red knives. Christopher has 1/9 the number of red knives that Jackson has. Christopher bought 6 red knives. What is the number of red knives that Christopher has now?,Jackson has 9 red knives. Jackson has 9 times the number of red knives compared to the number Christopher has. Christopher bought 6 red knives. What is the number of red knives that Christopher has now?,7
How many blenders does Chloe have in all?,There are 7 backpacks in Abigail's collection. Each of Abigail's backpack holds 3 boxs. Abigail bought 5 more boxs. Chloe has 1/13 the amount of boxs as Abigail. Chloe bought 14 boxs. There are 19 blenders in every Chloe's box.,There are 7 backpacks in Abigail's collection. Each of Abigail's backpack holds 3 boxs. Abigail bought 5 more boxs. Abigail has 13 times as many boxs as Chloe. Chloe bought 14 boxs. There are 19 blenders in every Chloe's box.,There are 7 backpacks in Abigail's collection. Each of Abigail's backpack holds 3 boxes. Abigail bought 5 more boxes. Chloe has 1/13 the amount of boxes as Abigail. Chloe bought 14 boxes. There are 19 blenders in every box Chloe has. How many blenders does Chloe have in all?,There are 7 backpacks in Abigail's collection. Each of Abigail's backpack holds 3 boxes. Abigail bought 5 more boxes. Abigail has 13 times as many boxes as Chloe. Chloe bought 14 boxes. There are 19 blenders in every box Chloe has. How many blenders does Chloe have in all?,304
How many washing machines does Abigail have totaled now?,There are 20 bags in John's collection. Each of John's bag holds 4 bookshelfs. Abigail has 1/20 the amount of bags as John. Every bag that Abigail has contains 11 washing machines. Abigail bought 12 more washing machines.,There are 20 bags in John's collection. Each of John's bag holds 4 bookshelfs. John has 20 times as many bags as Abigail. Every bag that Abigail has contains 11 washing machines. Abigail bought 12 more washing machines.,There are 20 bags in John's collection. Each of John's bags holds 4 bookshelves. Abigail has 1/20th the amount of bags as John. Every bag that Abigail has contains 11 washing machines. Abigail bought 12 more washing machines. How many washing machines does Abigail have in total now?,There are 20 bags in John's collection. Each of John's bags holds 4 bookshelves. John has 20 times as many bags as Abigail. Every bag that Abigail has contains 11 washing machines. Abigail bought 12 more washing machines. How many washing machines does Abigail have in total now?,23
How many bags does Lucy have in all now?,Avery has 9 bags. Avery bought 13 more bags. Each of Avery's bag has 3 beds. Lucy has 1/11 the amount of bags as Avery. Lucy bought 8 more bags.,Avery has 9 bags. Avery bought 13 more bags. Each of Avery's bag has 3 beds. Avery has 11 times as many bags as Lucy. Lucy bought 8 more bags.,Avery has 9 bags. Avery bought 13 more bags. Each of Avery's bags has 3 beds. Lucy has 1/11 the number of bags as Avery. Lucy bought 8 more bags. How many bags does Lucy have in total now?,Avery has 9 bags. Avery bought 13 more bags. Each of Avery's bags has 3 beds. Avery has 11 times as many bags as Lucy. Lucy bought 8 more bags. How many bags does Lucy have in total now?,10
How many televisions does Elizabeth have in total now?,Michael owns 2 packages. Each of Michael's package holds 20 televisions. Elizabeth has 15 more televisions than Michael. Elizabeth bought 10 televisions.,Michael owns 2 packages. Each of Michael's package holds 20 televisions. Michael has 15 fewer televisions than Elizabeth. Elizabeth bought 10 televisions.,Michael owns 2 packages. Each package holds 20 televisions. Elizabeth has 15 more televisions than Michael. Elizabeth bought 10 televisions. How many televisions does Elizabeth have in total now?,Michael owns 2 packages. Each package holds 20 televisions. Michael has 15 fewer televisions than Elizabeth. Elizabeth bought 10 televisions. How many televisions does Elizabeth have in total now?,65
How many gigabytes of training data does Abigail have?,Michael owns 20 packages. Each of Michael's package has 3 boxs. Abigail has 1/4 the amount of boxs as Michael. Abigail possesses 19 gigabytes of training data per box.,Michael owns 20 packages. Each of Michael's package has 3 boxs. Michael has 4 times as many boxs as Abigail. Abigail possesses 19 gigabytes of training data per box.,Michael owns 20 packages. Each of Michael's packages has 3 boxes. Abigail has 1/4 the number of boxes as Michael. Abigail possesses 19 gigabytes of training data per box. How many gigabytes of training data does Abigail have?,Michael owns 20 packages. Each of Michael's packages has 3 boxes. Michael has 4 times as many boxes as Abigail. Abigail possesses 19 gigabytes of training data per box. How many gigabytes of training data does Abigail have?,285
How many plates does Jackson have in total?,There are 9 bags in Amelia's collection. Jackson has 6 fewer bags than Amelia. Each of Jackson's bag has 15 plates.,There are 9 bags in Amelia's collection. Amelia has 6 more bags than Jackson. Each of Jackson's bag has 15 plates.,There are 9 bags in Amelia's collection. Jackson has 6 fewer bags than Amelia. Each of Jackson's bags has 15 plates. How many plates does Jackson have in total?,There are 9 bags in Amelia's collection. Amelia has 6 more bags than Jackson. Each of Jackson's bags has 15 plates. How many plates does Jackson have in total?,45
What is the number of red forks that James has?,William has 5 blue packages. William possesses 20 green bag for every blue package. William bought 14 green bags. James has 19 fewer green bags than William. James possesses 3 red fork for every green bag.,William has 5 blue packages. William possesses 20 green bag for every blue package. William bought 14 green bags. William has 19 more green bags than James. James possesses 3 red fork for every green bag.,William has 5 blue packages. William possesses 20 green bags for every blue package. William bought 14 green bags. James has 19 fewer green bags than William. James possesses 3 red forks for every green bag. What is the number of red forks that James has?,William has 5 blue packages. William possesses 20 green bags for every blue package. William bought 14 green bags. William has 19 more green bags than James. James possesses 3 red forks for every green bag. What is the number of red forks that James has?,285
How many bowls does Avery have in their collection?,John owns 10 bowls. John bought 3 more bowls. John bought 14 bowls. Avery has 1/9 the amount of bowls as John.,John owns 10 bowls. John bought 3 more bowls. John bought 14 bowls. John has 9 times as many bowls as Avery.,John owns 10 bowls. John bought 3 additional bowls. John bought 14 bowls. Avery has 1/9 of the number of bowls as John. How many bowls does Avery have in their collection?,John owns 10 bowls. John bought 3 additional bowls. John bought 14 bowls. John has 9 times as many bowls as Avery. How many bowls does Avery have in their collection?,3
How many keys does David have?,Matthew has 13 boxs. Matthew bought 5 more boxs. David has 13 more boxs than Matthew. David bought 16 more boxs. Every box that David has contains 9 keys.,Matthew has 13 boxs. Matthew bought 5 more boxs. Matthew has 13 fewer boxs than David. David bought 16 more boxs. Every box that David has contains 9 keys.,Matthew has 13 boxes. Matthew bought 5 more boxes. David has 13 more boxes than Matthew. David bought 16 more boxes. Every box that David has contains 9 keys. How many keys does David have?,Matthew has 13 boxes. Matthew bought 5 more boxes. Matthew has 13 fewer boxes than David. David bought 16 more boxes. Every box that David has contains 9 keys. How many keys does David have?,423
How many toasters does Abigail have totaled?,Elizabeth has 3 backpacks. Abigail has 8 times as many backpacks as Elizabeth. Each of Abigail's backpack has 4 toasters.,Elizabeth has 3 backpacks. Elizabeth has 1/8 the amount of backpacks as Abigail. Each of Abigail's backpack has 4 toasters.,Elizabeth has 3 backpacks. Abigail has 8 times as many backpacks as Elizabeth. Each of Abigail's backpacks has 4 toasters. How many toasters does Abigail have in total?,Elizabeth has 3 backpacks. Elizabeth has 1/8 the number of backpacks as Abigail. Each of Abigail's backpacks has 4 toasters. How many toasters does Abigail have in total?,96
