question comparison,question transition,body comparison,body transition,paraphrase comparison,paraphrase transition,answer
How many soaps does Ava have?,How many soaps does Samuel have in their collection now?,Samuel has 3 soaps. Daniel has 14 more soaps than Samuel. Ava has 4 more soaps than Daniel.,Samuel has 3 soaps. Daniel gave Samuel 14 soaps. Ava gave 4 soaps to Samuel.,Samuel has 3 soaps. Daniel has 14 soaps more than Samuel. Ava has 4 soaps more than Daniel. How many soaps does Ava have?,Samuel has 3 soaps. Daniel gave Samuel 14 soaps. Ava gave 4 soaps to Samuel. How many soaps does Samuel have in his collection now?,21
How many clocks does Evelyn have?,How many clocks does William have now?,William has 15 clocks. Sofia has 2 fewer clocks than William. Jacob has 15 more clocks than Sofia. Jacob has 19 more clocks than Evelyn.,William has 15 clocks. William gave 2 clocks to Sofia. Jacob gave 15 clocks to William. William gave 19 clocks to Evelyn.,William has 15 clocks. Sofia has 2 fewer clocks than William. Jacob has 15 more clocks than Sofia. Jacob has 19 more clocks than Evelyn. How many clocks does Evelyn have?,William has 15 clocks. William gave 2 clocks to Sofia. Jacob gave 15 clocks to William. William gave 19 clocks to Evelyn. How many clocks does William have now?,9
How many cups does William have?,How many cups does Emily have totaled now?,Emily has 17 cups. Emily has 18 fewer cups than William.,Emily has 17 cups. William gave 18 cups to Emily.,Emily has 17 cups. Emily has 18 fewer cups than William. How many cups does William have?,Emily has 17 cups. William gave 18 cups to Emily. How many cups does Emily have now in total?,35
How many speakers does Emily have in total?,How many speakers does Ava have totaled now?,Ava has 18 speakers. Ava has 3 more speakers than William. William has 4 more speakers than Victoria. Liam has 7 fewer speakers than Victoria. John has 3 fewer speakers than Liam. John has 13 fewer speakers than Emily.,Ava has 18 speakers. Ava gave William 3 speakers. Ava gave Victoria 4 speakers. Ava gave Liam 7 speakers. Ava gave 3 speakers to John. Emily gave Ava 13 speakers.,Ava has 18 speakers. Ava has 3 more speakers than William. William has 4 more speakers than Victoria. Liam has 7 fewer speakers than Victoria. John has 3 fewer speakers than Liam. John has 13 fewer speakers than Emily. How many speakers does Emily have in total?,Ava has 18 speakers. Ava gave William 3 speakers. Ava gave Victoria 4 speakers. Ava gave Liam 7 speakers. Ava gave 3 speakers to John. Emily gave Ava 13 speakers. How many speakers does Ava have now in total?,14
How many toothbrushs does Andrew have?,How many toothbrushs does Avery have in their collection now?,Avery has 19 toothbrushs. William has 9 more toothbrushs than Avery. Andrew has 2 fewer toothbrushs than William.,Avery has 19 toothbrushs. William gave Avery 9 toothbrushs. Avery gave 2 toothbrushs to Andrew.,Avery has 19 toothbrushes. William has 9 more toothbrushes than Avery. Andrew has 2 fewer toothbrushes than William. How many toothbrushes does Andrew have?,Avery has 19 toothbrushes. William gave Avery 9 toothbrushes. Avery gave 2 toothbrushes to Andrew. How many toothbrushes does Avery have in their collection now?,26
What is the number of yellow chairs that Mila has?,What is the number of yellow chairs that Elijah has now?,Elijah has 15 yellow chairs. Elijah has 12 more yellow chairs than William. Mila has 19 more yellow chairs than William.,Elijah has 15 yellow chairs. Elijah gave William 12 yellow chairs. Mila gave Elijah 19 yellow chairs.,Elijah has 15 yellow chairs. Elijah has 12 more yellow chairs than William. Mila has 19 more yellow chairs than William. What is the number of yellow chairs that Mila has?,Elijah has 15 yellow chairs. Elijah gave William 12 yellow chairs. Mila gave Elijah 19 yellow chairs. What is the number of yellow chairs that Elijah has now?,22
How many blenders does Hannah have in their collection?,How many blenders does Jonathan have in total now?,Jonathan has 16 blenders. Jonathan has 4 more blenders than Christian. Henry has 17 more blenders than Christian. Hannah has 15 more blenders than Henry.,Jonathan has 16 blenders. Jonathan gave 4 blenders to Christian. Henry gave 17 blenders to Jonathan. Hannah gave 15 blenders to Jonathan.,Jonathan has 16 blenders. He has 4 more blenders than Christian. Henry has 17 more blenders than Christian. Hannah has 15 more blenders than Henry. How many blenders does Hannah have in her collection?,Jonathan has 16 blenders. Jonathan gave 4 blenders to Christian. Henry gave 17 blenders to Jonathan. Hannah gave 15 blenders to Jonathan. How many blenders does Jonathan have in total now?,44
How many gigabytes of training data does Sofia have?,How many gigabytes of training data does Mason have now?,Mason has 19 gigabytes of training data. Ava has 7 gigabytes of training data less than Mason. Jacob has 4 gigabytes of training data less than Ava. Jacob has 2 gigabytes of training data more than Hannah. Hannah has 3 gigabytes of training data more than Natalie. Natalie has 15 gigabytes of training data less than Sofia.,Mason has 19 gigabytes of training data. Mason gave Ava 7 gigabytes of training data. Mason gave Jacob 4 gigabytes of training data. Mason gave Hannah 2 gigabytes of training data. Mason gave Natalie 3 gigabytes of training data. Sofia gave Mason 15 gigabytes of training data.,Mason has 19 gigabytes of training data. Ava has 7 gigabytes less training data than Mason. Jacob has 4 gigabytes less training data than Ava. Jacob has 2 gigabytes more training data than Hannah. Hannah has 3 gigabytes more training data than Natalie. Natalie has 15 gigabytes less training data than Sofia. How many gigabytes of training data does Sofia have?,Mason has 19 gigabytes of training data. Mason gave Ava 7 gigabytes of training data. Mason gave Jacob 4 gigabytes of training data. Mason gave Hannah 2 gigabytes of training data. Mason gave Natalie 3 gigabytes of training data. Sofia gave Mason 15 gigabytes of training data. How many gigabytes of training data does Mason have now?,18
How many acres of farmland does Charlotte have?,How many acres of farmland does Joshua have now?,Joshua has 19 acres of farmland. Joshua has 18 acres of farmland less than Isabella. Charlotte has 7 acres of farmland less than Isabella.,Joshua has 19 acres of farmland. Isabella gave Joshua 18 acres of farmland. Joshua gave Charlotte 7 acres of farmland.,Joshua has 19 acres of farmland. Joshua has 18 acres of farmland less than Isabella. Charlotte has 7 acres of farmland less than Isabella. How many acres of farmland does Charlotte have?,Joshua has 19 acres of farmland. Isabella gave Joshua 18 acres of farmland. Joshua gave Charlotte 7 acres of farmland. How many acres of farmland does Joshua have now?,30
What is the number of yellow soaps that Ava has?,What is the number of yellow soaps that Elijah has now?,Elijah has 17 yellow soaps. Elijah has 17 fewer yellow soaps than James. James has 17 more yellow soaps than Emma. Emma has 9 more yellow soaps than Ava.,Elijah has 17 yellow soaps. James gave Elijah 17 yellow soaps. Elijah gave Emma 17 yellow soaps. Elijah gave Ava 9 yellow soaps.,Elijah has 17 yellow soaps. Elijah has 17 fewer yellow soaps than James. James has 17 more yellow soaps than Emma. Emma has 9 more yellow soaps than Ava. What is the number of yellow soaps that Ava has?,Elijah has 17 yellow soaps. James gave Elijah 17 yellow soaps. Elijah gave Emma 17 yellow soaps. Elijah gave Ava 9 yellow soaps. What is the number of yellow soaps that Elijah has now?,8
How many kilowatt-hours of emergency energy reserve does Henry have?,How many kilowatt-hours of emergency energy reserve does Scarlett have now?,Scarlett has 7 kilowatt-hours of emergency energy reserve. Mila has 6 kilowatt-hours of emergency energy reserve more than Scarlett. Mila has 14 kilowatt-hours of emergency energy reserve less than Logan. Logan has 8 kilowatt-hours of emergency energy reserve more than Avery. Henry has 16 kilowatt-hours of emergency energy reserve less than Avery.,Scarlett has 7 kilowatt-hours of emergency energy reserve. Mila gave Scarlett 6 kilowatt-hours of emergency energy reserve. Logan gave Scarlett 14 kilowatt-hours of emergency energy reserve. Scarlett gave Avery 8 kilowatt-hours of emergency energy reserve. Scarlett gave Henry 16 kilowatt-hours of emergency energy reserve.,Scarlett has 7 kilowatt-hours of emergency energy reserve. Mila has 6 kilowatt-hours more emergency energy reserve than Scarlett. Mila has 14 kilowatt-hours less emergency energy reserve than Logan. Logan has 8 kilowatt-hours more emergency energy reserve than Avery. Henry has 16 kilowatt-hours less emergency energy reserve than Avery. How many kilowatt-hours of emergency energy reserve does Henry have?,Scarlett has 7 kilowatt-hours of emergency energy reserve. Mila gave Scarlett 6 kilowatt-hours of emergency energy reserve. Logan gave Scarlett 14 kilowatt-hours of emergency energy reserve. Scarlett gave Avery 8 kilowatt-hours of emergency energy reserve. Scarlett gave Henry 16 kilowatt-hours of emergency energy reserve. How many kilowatt-hours of emergency energy reserve does Scarlett have now?,3
What is the number of large blenders that Victoria has?,What is the number of large blenders that Elijah has now?,Elijah has 18 large blenders. Elijah has 8 fewer large blenders than Joshua. Lucy has 14 fewer large blenders than Joshua. Chloe has 5 fewer large blenders than Lucy. Victoria has 7 fewer large blenders than Chloe.,Elijah has 18 large blenders. Joshua gave Elijah 8 large blenders. Elijah gave Lucy 14 large blenders. Elijah gave Chloe 5 large blenders. Elijah gave Victoria 7 large blenders.,Elijah has 18 large blenders. Elijah has 8 fewer large blenders than Joshua. Lucy has 14 fewer large blenders than Joshua. Chloe has 5 fewer large blenders than Lucy. Victoria has 7 fewer large blenders than Chloe. What is the number of large blenders that Victoria has?,Elijah has 18 large blenders. Joshua gave Elijah 8 large blenders. Elijah gave Lucy 14 large blenders. Elijah gave Chloe 5 large blenders. Elijah gave Victoria 7 large blenders. What is the number of large blenders that Elijah has now?,0
How many clocks does Sofia have in all?,How many clocks does Amelia have in total now?,Amelia has 12 clocks. Christopher has 12 more clocks than Amelia. Jacob has 7 fewer clocks than Christopher. Jacob has 11 more clocks than Chloe. Chloe has 4 fewer clocks than Sofia.,Amelia has 12 clocks. Christopher gave 12 clocks to Amelia. Amelia gave Jacob 7 clocks. Amelia gave 11 clocks to Chloe. Sofia gave 4 clocks to Amelia.,Amelia has 12 clocks. Christopher has 12 more clocks than Amelia. Jacob has 7 fewer clocks than Christopher. Jacob has 11 more clocks than Chloe. Chloe has 4 fewer clocks than Sofia. How many clocks does Sofia have in total?,Amelia has 12 clocks. Christopher gave 12 clocks to Amelia. Amelia gave Jacob 7 clocks. Amelia gave 11 clocks to Chloe. Sofia gave 4 clocks to Amelia. How many clocks does Amelia have in total now?,10
What is the number of green blenders that Elizabeth has?,What is the number of green blenders that Emily has now?,Emily has 13 green blenders. Emily has 13 fewer green blenders than Grace. Elizabeth has 10 more green blenders than Grace.,Emily has 13 green blenders. Grace gave Emily 13 green blenders. Elizabeth gave Emily 10 green blenders.,Emily has 13 green blenders. Emily has 13 fewer green blenders than Grace. Elizabeth has 10 more green blenders than Grace. What is the number of green blenders that Elizabeth has?,Emily has 13 green blenders. Grace gave Emily 13 more green blenders. Elizabeth gave Emily 10 additional green blenders. What is the total number of green blenders that Emily has now?,36
How many beds does Benjamin have totaled?,How many beds does Victoria have totaled now?,Victoria has 18 beds. Liam has 9 fewer beds than Victoria. Liam has 2 more beds than Benjamin.,Victoria has 18 beds. Victoria gave 9 beds to Liam. Victoria gave 2 beds to Benjamin.,Victoria has 18 beds. Liam has 9 fewer beds than Victoria. Liam has 2 more beds than Benjamin. How many beds does Benjamin have in total?,Victoria has 18 beds. Victoria gave 9 beds to Liam. Victoria gave 2 beds to Benjamin. How many beds does Victoria have now in total?,7
How many bookshelfs does Samuel have in their collection?,How many bookshelfs does Mia have totaled now?,Mia has 7 bookshelfs. Mia has 2 more bookshelfs than James. James has 2 more bookshelfs than Ava. Samuel has 3 fewer bookshelfs than Ava.,Mia has 7 bookshelfs. Mia gave 2 bookshelfs to James. Mia gave 2 bookshelfs to Ava. Mia gave 3 bookshelfs to Samuel.,Mia has 7 bookshelves. Mia has 2 more bookshelves than James. James has 2 more bookshelves than Ava. Samuel has 3 fewer bookshelves than Ava. How many bookshelves does Samuel have in their collection?,Mia has 7 bookshelves. Mia gave 2 bookshelves to James. Mia gave 2 bookshelves to Ava. Mia gave 3 bookshelves to Samuel. How many bookshelves does Mia have in total now?,0
How many washing machines does Harper have?,How many washing machines does Nicholas have now?,Nicholas has 11 washing machines. Joshua has 19 more washing machines than Nicholas. Joshua has 10 more washing machines than Harper.,Nicholas has 11 washing machines. Joshua gave 19 washing machines to Nicholas. Nicholas gave Harper 10 washing machines.,Nicholas has 11 washing machines. Joshua has 19 washing machines more than Nicholas. Joshua has 10 washing machines more than Harper. How many washing machines does Harper have?,Nicholas has 11 washing machines. Joshua gave 19 washing machines to Nicholas. Nicholas gave Harper 10 washing machines. How many washing machines does Nicholas have now?,20
What is the number of orange plates that Samuel has?,What is the number of orange plates that Mia has now?,Mia has 11 orange plates. Mia has 11 more orange plates than Amelia. Charlotte has 11 more orange plates than Amelia. Samuel has 5 fewer orange plates than Charlotte.,Mia has 11 orange plates. Mia gave Amelia 11 orange plates. Charlotte gave Mia 11 orange plates. Mia gave Samuel 5 orange plates.,Mia has 11 orange plates. Mia has 11 more orange plates than Amelia. Charlotte has 11 more orange plates than Amelia. Samuel has 5 fewer orange plates than Charlotte. What is the number of orange plates that Samuel has?,Mia has 11 orange plates. Mia gave Amelia 11 orange plates. Charlotte gave Mia 11 orange plates. Mia gave Samuel 5 orange plates. What is the number of orange plates that Mia has now?,6
How many blenders does Sofia have in total?,How many blenders does Evelyn have in total now?,Evelyn has 17 blenders. Evelyn has 2 more blenders than Sofia.,Evelyn has 17 blenders. Evelyn gave Sofia 2 blenders.,Evelyn has 17 blenders. She has 2 more blenders than Sofia. How many blenders does Sofia have in total?,Evelyn has 17 blenders. Evelyn gave Sofia 2 blenders. How many blenders does Evelyn have in total now?,15
How many pots does Abigail have totaled?,How many pots does Isabella have now?,Isabella has 18 pots. Isabella has 2 fewer pots than David. John has 2 fewer pots than David. John has 9 fewer pots than Jonathan. Jonathan has 9 more pots than Emma. Abigail has 14 fewer pots than Emma.,Isabella has 18 pots. David gave Isabella 2 pots. Isabella gave John 2 pots. Jonathan gave 9 pots to Isabella. Isabella gave 9 pots to Emma. Isabella gave Abigail 14 pots.,Isabella has 18 pots. Isabella has 2 fewer pots than David. John has 2 fewer pots than David. John has 9 fewer pots than Jonathan. Jonathan has 9 more pots than Emma. Abigail has 14 fewer pots than Emma. How many pots does Abigail have in total?,Isabella has 18 pots. David gave Isabella 2 pots. Isabella gave John 2 pots. Jonathan gave 9 pots to Isabella. Isabella gave 9 pots to Emma. Isabella gave Abigail 14 pots. How many pots does Isabella have now?,4
What is the number of yellow plants that Elijah has?,What is the number of yellow plants that Christian has now?,Christian has 18 yellow plants. Daniel has 3 more yellow plants than Christian. Jackson has 2 fewer yellow plants than Daniel. Jackson has 5 fewer yellow plants than Elijah.,Christian has 18 yellow plants. Daniel gave Christian 3 yellow plants. Christian gave Jackson 2 yellow plants. Elijah gave Christian 5 yellow plants.,Christian has 18 yellow plants. Daniel has 3 more yellow plants than Christian. Jackson has 2 fewer yellow plants than Daniel. Jackson has 5 fewer yellow plants than Elijah. What is the number of yellow plants that Elijah has?,Christian has 18 yellow plants. Daniel gave Christian 3 yellow plants. Christian gave Jackson 2 yellow plants. Elijah gave Christian 5 yellow plants. What is the number of yellow plants that Christian has now?,24
How many acres of farmland does Avery have?,How many acres of farmland does Ryan have now?,Ryan has 16 acres of farmland. Ava has 14 acres of farmland more than Ryan. Scarlett has 5 acres of farmland less than Ava. Scarlett has 18 acres of farmland less than Alexander. Alexander has 4 acres of farmland more than Avery.,Ryan has 16 acres of farmland. Ava gave Ryan 14 acres of farmland. Ryan gave Scarlett 5 acres of farmland. Alexander gave Ryan 18 acres of farmland. Ryan gave Avery 4 acres of farmland.,Ryan has 16 acres of farmland. Ava has 14 more acres of farmland than Ryan. Scarlett has 5 fewer acres of farmland than Ava. Scarlett has 18 fewer acres of farmland than Alexander. Alexander has 4 more acres of farmland than Avery. How many acres of farmland does Avery have?,Ryan has 16 acres of farmland. Ava gave Ryan 14 acres of farmland. Ryan gave Scarlett 5 acres of farmland. Alexander gave Ryan 18 acres of farmland. Ryan gave Avery 4 acres of farmland. How many acres of farmland does Ryan have now?,39
How many towels does Christian have?,How many towels does Nathan have in all now?,Nathan has 19 towels. Joseph has 9 fewer towels than Nathan. Joseph has 6 more towels than Emma. Emma has 12 fewer towels than Christian.,Nathan has 19 towels. Nathan gave Joseph 9 towels. Nathan gave 6 towels to Emma. Christian gave Nathan 12 towels.,Nathan has 19 towels. Joseph has 9 fewer towels than Nathan. Joseph has 6 more towels than Emma. Emma has 12 fewer towels than Christian. How many towels does Christian have?,Nathan has 19 towels. Nathan gave Joseph 9 towels. Nathan gave 6 towels to Emma. Christian gave Nathan 12 towels. How many towels does Nathan have now in total?,16
What is the number of orange pans that Emily has?,What is the number of orange pans that Alexander has now?,Alexander has 5 orange pans. Ella has 2 more orange pans than Alexander. Andrew has 16 more orange pans than Ella. Andrew has 8 more orange pans than Emily.,Alexander has 5 orange pans. Ella gave Alexander 2 orange pans. Andrew gave Alexander 16 orange pans. Alexander gave Emily 8 orange pans.,Alexander has 5 orange pans. Ella has 2 more orange pans than Alexander. Andrew has 16 more orange pans than Ella. Andrew has 8 more orange pans than Emily. What is the number of orange pans that Emily has?,Alexander has 5 orange pans. Ella gave Alexander 2 orange pans. Andrew gave Alexander 16 orange pans. Alexander gave Emily 8 orange pans. What is the number of orange pans that Alexander has now?,15
How many rugs does Sophia have in all?,How many rugs does Nathan have now?,Nathan has 11 rugs. Nathan has 14 fewer rugs than Samuel. Lucy has 18 more rugs than Samuel. Lily has 20 fewer rugs than Lucy. Lily has 12 more rugs than Sophia.,Nathan has 11 rugs. Samuel gave 14 rugs to Nathan. Lucy gave 18 rugs to Nathan. Nathan gave 20 rugs to Lily. Nathan gave Sophia 12 rugs.,Nathan has 11 rugs. Nathan has 14 fewer rugs than Samuel. Lucy has 18 more rugs than Samuel. Lily has 20 fewer rugs than Lucy. Lily has 12 more rugs than Sophia. How many rugs does Sophia have in total?,Nathan has 11 rugs. Samuel gave 14 rugs to Nathan. Lucy gave 18 rugs to Nathan. Nathan gave 20 rugs to Lily. Nathan gave Sophia 12 rugs. How many rugs does Nathan have now?,11
How many liters of milk does Emma have?,How many liters of milk does Jackson have now?,Jackson has 13 liters of milk. Emma has 17 liters of milk more than Jackson.,Jackson has 13 liters of milk. Emma gave Jackson 17 liters of milk.,Jackson has 13 liters of milk. Emma has 17 liters more milk than Jackson. How many liters of milk does Emma have?,Jackson has 13 liters of milk. Emma gave Jackson 17 liters of milk. How many liters of milk does Jackson have now?,30
What is the number of large wallets that Joseph has?,What is the number of large wallets that Jonathan has now?,Jonathan has 17 large wallets. Jonathan has 12 more large wallets than Elizabeth. Elizabeth has 15 fewer large wallets than Nathan. Nathan has 11 more large wallets than Daniel. Daniel has 2 more large wallets than Ryan. Ryan has 3 more large wallets than Joseph.,Jonathan has 17 large wallets. Jonathan gave Elizabeth 12 large wallets. Nathan gave Jonathan 15 large wallets. Jonathan gave Daniel 11 large wallets. Jonathan gave Ryan 2 large wallets. Jonathan gave Joseph 3 large wallets.,Jonathan has 17 large wallets. Jonathan has 12 more large wallets than Elizabeth. Elizabeth has 15 fewer large wallets than Nathan. Nathan has 11 more large wallets than Daniel. Daniel has 2 more large wallets than Ryan. Ryan has 3 more large wallets than Joseph. What is the number of large wallets that Joseph has?,Jonathan has 17 large wallets. Jonathan gave Elizabeth 12 large wallets. Nathan gave Jonathan 15 large wallets. Jonathan gave Daniel 11 large wallets. Jonathan gave Ryan 2 large wallets. Jonathan gave Joseph 3 large wallets. What is the number of large wallets that Jonathan has now?,4
How many mouses does Nathan have?,How many mouses does Joshua have in all now?,Joshua has 7 mouses. Joshua has 2 fewer mouses than David. Benjamin has 18 more mouses than David. Sophia has 2 more mouses than Benjamin. Sophia has 14 fewer mouses than Jonathan. Jonathan has 3 fewer mouses than Nathan.,Joshua has 7 mouses. David gave 2 mouses to Joshua. Benjamin gave Joshua 18 mouses. Sophia gave 2 mouses to Joshua. Jonathan gave 14 mouses to Joshua. Nathan gave Joshua 3 mouses.,Joshua has 7 mice. Joshua has 2 fewer mice than David. Benjamin has 18 more mice than David. Sophia has 2 more mice than Benjamin. Sophia has 14 fewer mice than Jonathan. Jonathan has 3 fewer mice than Nathan. How many mice does Nathan have?,Joshua has 7 mice. David gave 2 mice to Joshua. Benjamin gave Joshua 18 mice. Sophia gave 2 mice to Joshua. Jonathan gave 14 mice to Joshua. Nathan gave Joshua 3 mice. How many mice does Joshua have in all now?,46
How many gallons of oil does James have?,How many gallons of oil does Jacob have now?,Jacob has 11 gallons of oil. Christian has 9 gallons of oil more than Jacob. James has 20 gallons of oil less than Christian.,Jacob has 11 gallons of oil. Christian gave Jacob 9 gallons of oil. Jacob gave James 20 gallons of oil.,Jacob has 11 gallons of oil. Christian has 9 gallons more oil than Jacob. James has 20 gallons less oil than Christian. How many gallons of oil does James have?,Jacob has 11 gallons of oil. Christian gave Jacob 9 gallons of oil. Jacob gave James 20 gallons of oil. How many gallons of oil does Jacob have now?,0
How many liters of milk does Emily have?,How many liters of milk does Alexander have now?,Alexander has 17 liters of milk. Alexander has 8 liters of milk less than Michael. Michael has 16 liters of milk more than Emily.,Alexander has 17 liters of milk. Michael gave Alexander 8 liters of milk. Alexander gave Emily 16 liters of milk.,Alexander has 17 liters of milk. Alexander has 8 liters less milk than Michael. Michael has 16 liters more milk than Emily. How many liters of milk does Emily have?,Alexander has 17 liters of milk. Michael gave Alexander 8 liters of milk. Alexander gave Emily 16 liters of milk. How many liters of milk does Alexander have now?,9
How many meters of rope does Mila have?,How many meters of rope does Victoria have now?,Victoria has 17 meters of rope. Christopher has 8 meters of rope less than Victoria. Christopher has 9 meters of rope less than Mila.,Victoria has 17 meters of rope. Victoria gave Christopher 8 meters of rope. Mila gave Victoria 9 meters of rope.,Victoria has 17 meters of rope. Christopher has 8 meters less rope than Victoria. Christopher has 9 meters less rope than Mila. How many meters of rope does Mila have?,Victoria has 17 meters of rope. Victoria gave Christopher 8 meters of rope. Mila gave Victoria 9 meters of rope. How many meters of rope does Victoria have now?,18
How many rolls of toilet papers does John have in total?,How many rolls of toilet papers does Jackson have totaled now?,Jackson has 14 rolls of toilet papers. Nathan has 11 more rolls of toilet papers than Jackson. Nathan has 13 more rolls of toilet papers than Amelia. Lucy has 4 more rolls of toilet papers than Amelia. John has 4 fewer rolls of toilet papers than Lucy.,Jackson has 14 rolls of toilet papers. Nathan gave 11 rolls of toilet papers to Jackson. Jackson gave 13 rolls of toilet papers to Amelia. Lucy gave 4 rolls of toilet papers to Jackson. Jackson gave John 4 rolls of toilet papers.,Jackson has 14 rolls of toilet paper. Nathan has 11 more rolls of toilet paper than Jackson. Nathan has 13 more rolls of toilet paper than Amelia. Lucy has 4 more rolls of toilet paper than Amelia. John has 4 fewer rolls of toilet paper than Lucy. How many rolls of toilet paper does John have in total?,Jackson has 14 rolls of toilet paper. Nathan gave 11 rolls of toilet paper to Jackson. Jackson gave 13 rolls of toilet paper to Amelia. Lucy gave 4 rolls of toilet paper to Jackson. Jackson gave John 4 rolls of toilet paper. How many rolls of toilet paper does Jackson have now in total?,12
How many gigabytes of training data does Grace have?,How many gigabytes of training data does Emily have now?,Emily has 15 gigabytes of training data. Harper has 5 gigabytes of training data less than Emily. Harper has 12 gigabytes of training data less than Avery. Avery has 9 gigabytes of training data more than John. Grace has 4 gigabytes of training data less than John.,Emily has 15 gigabytes of training data. Emily gave Harper 5 gigabytes of training data. Avery gave Emily 12 gigabytes of training data. Emily gave John 9 gigabytes of training data. Emily gave Grace 4 gigabytes of training data.,Emily has 15 gigabytes of training data. Harper has 5 gigabytes less training data than Emily. Harper has 12 gigabytes less training data than Avery. Avery has 9 gigabytes more training data than John. Grace has 4 gigabytes less training data than John. How many gigabytes of training data does Grace have?,Emily has 15 gigabytes of training data. Emily gave Harper 5 gigabytes of training data. Avery gave Emily 12 gigabytes of training data. Emily gave John 9 gigabytes of training data. Emily gave Grace 4 gigabytes of training data. How many gigabytes of training data does Emily have now?,9
How many kilowatt-hours of emergency energy reserve does Charlotte have?,How many kilowatt-hours of emergency energy reserve does Ella have now?,Ella has 13 kilowatt-hours of emergency energy reserve. Jonathan has 12 kilowatt-hours of emergency energy reserve less than Ella. Nicholas has 6 kilowatt-hours of emergency energy reserve more than Jonathan. Nicholas has 4 kilowatt-hours of emergency energy reserve more than Hannah. William has 17 kilowatt-hours of emergency energy reserve more than Hannah. William has 3 kilowatt-hours of emergency energy reserve more than Charlotte.,Ella has 13 kilowatt-hours of emergency energy reserve. Ella gave Jonathan 12 kilowatt-hours of emergency energy reserve. Nicholas gave Ella 6 kilowatt-hours of emergency energy reserve. Ella gave Hannah 4 kilowatt-hours of emergency energy reserve. William gave Ella 17 kilowatt-hours of emergency energy reserve. Ella gave Charlotte 3 kilowatt-hours of emergency energy reserve.,Ella has 13 kilowatt-hours of emergency energy reserve. Jonathan has 12 kilowatt-hours less than Ella. Nicholas has 6 kilowatt-hours more than Jonathan. Nicholas has 4 kilowatt-hours more than Hannah. William has 17 kilowatt-hours more than Hannah. William has 3 kilowatt-hours more than Charlotte. How many kilowatt-hours does Charlotte have?,Ella has 13 kilowatt-hours of emergency energy reserve. Ella gave Jonathan 12 kilowatt-hours of emergency energy reserve. Nicholas gave Ella 6 kilowatt-hours of emergency energy reserve. Ella gave Hannah 4 kilowatt-hours of emergency energy reserve. William gave Ella 17 kilowatt-hours of emergency energy reserve. Ella gave Charlotte 3 kilowatt-hours of emergency energy reserve. How many kilowatt-hours of emergency energy reserve does Ella have now?,17
How many televisions does Matthew have?,How many televisions does Ryan have in total now?,Ryan has 15 televisions. Ryan has 8 more televisions than Sophia. Christopher has 3 fewer televisions than Sophia. Benjamin has 14 more televisions than Christopher. Chloe has 19 more televisions than Benjamin. Chloe has 6 fewer televisions than Matthew.,Ryan has 15 televisions. Ryan gave 8 televisions to Sophia. Ryan gave Christopher 3 televisions. Benjamin gave Ryan 14 televisions. Chloe gave Ryan 19 televisions. Matthew gave Ryan 6 televisions.,Ryan has 15 televisions. Ryan has 8 more televisions than Sophia. Christopher has 3 fewer televisions than Sophia. Benjamin has 14 more televisions than Christopher. Chloe has 19 more televisions than Benjamin. Chloe has 6 fewer televisions than Matthew. How many televisions does Matthew have?,Ryan has 15 televisions. Ryan gave 8 televisions to Sophia. Ryan gave Christopher 3 televisions. Benjamin gave Ryan 14 televisions. Chloe gave Ryan 19 televisions. Matthew gave Ryan 6 televisions. How many televisions does Ryan have in total now?,43
How many rugs does Scarlett have?,How many rugs does Layla have in all now?,Layla has 8 rugs. Matthew has 3 fewer rugs than Layla. Matthew has 2 more rugs than Sofia. Evelyn has 7 more rugs than Sofia. Evelyn has 8 fewer rugs than Chloe. Scarlett has 7 fewer rugs than Chloe.,Layla has 8 rugs. Layla gave Matthew 3 rugs. Layla gave Sofia 2 rugs. Evelyn gave Layla 7 rugs. Chloe gave 8 rugs to Layla. Layla gave Scarlett 7 rugs.,Layla has 8 rugs. Matthew has 3 fewer rugs than Layla. Matthew has 2 more rugs than Sofia. Evelyn has 7 more rugs than Sofia. Evelyn has 8 fewer rugs than Chloe. Scarlett has 7 fewer rugs than Chloe. How many rugs does Scarlett have?,Layla has 8 rugs. Layla gave Matthew 3 rugs. Layla gave Sofia 2 rugs. Evelyn gave Layla 7 rugs. Chloe gave 8 rugs to Layla. Layla gave Scarlett 7 rugs. How many rugs does Layla have now in total?,11
How many acres of farmland does Avery have?,How many acres of farmland does Michael have now?,Michael has 4 acres of farmland. Michael has 20 acres of farmland less than Christopher. Avery has 8 acres of farmland less than Christopher.,Michael has 4 acres of farmland. Christopher gave Michael 20 acres of farmland. Michael gave Avery 8 acres of farmland.,Michael has 4 acres of farmland. Michael has 20 acres of farmland less than Christopher. Avery has 8 acres of farmland less than Christopher. How many acres of farmland does Avery have?,Michael has 4 acres of farmland. Christopher gave Michael 20 acres of farmland. Michael gave Avery 8 acres of farmland. How many acres of farmland does Michael have now?,16
